ID,kokugo,shakai,sugaku,rika,ongaku,bijutu,taiiku,gika,eigo
136,66,43,54,72,54,69,78,72,53
137,53,23,28,30,40,68,64,50,18
138,70,41,44,34,16,56,69,27,6
139,78,53,45,54,55,80,86,32,45
140,39,19,5,32,15,32,58,23,10
141,74,62,44,58,63,78,84,74,66
142,33,33,32,42,47,67,88,53,11
143,43,24,29,47,32,42,67,46,18
144,54,21,43,28,44,66,77,18,14
145,26,15,13,19,8,54,77,54,8
146,58,17,34,19,39,59,85,24,14
147,29,15,37,19,6,41,48,23,12
148,73,60,59,54,70,74,84,73,65
149,59,25,45,48,37,52,75,67,32
150,58,17,31,23,24,76,91,52,25
151,70,56,76,62,67,80,86,61,88
152,19,12,9,28,10,48,62,19,5
153,29,21,26,30,10,42,59,24,6
154,32,7,14,18,10,54,53,19,7
155,77,64,87,71,85,78,91,82,71
156,91,69,100,83,96,74,91,74,91
157,50,31,53,44,50,75,88,49,58
158,63,32,43,52,43,55,93,31,56
159,42,16,27,22,11,40,91,20,20
160,68,28,60,69,53,55,95,49,36
161,70,23,43,50,34,67,71,32,46
162,82,78,80,88,80,69,83,78,90
163,0,8,2,9,5,18,42,2,1
164,45,26,29,24,31,57,68,40,27
165,73,31,43,32,59,64,82,48,56
166,60,85,89,80,56,79,81,45,85
